_RI,_RO,Program,Write,Inspect,Halt In,,DB /OE,DB A->B,User /OE,RAM /OE,RAM /WE,Halt Out,User A->B,RAM /CE
0,0,0,0,0,0,,1,1,1,1,1,0,0,0
0,0,0,0,0,1,,1,1,1,1,1,1,0,0
0,0,0,0,1,0,,1,1,1,1,1,0,0,0
0,0,0,0,1,1,,1,1,1,1,1,1,0,0
0,0,0,1,0,0,,1,1,1,1,1,0,0,0
0,0,0,1,0,1,,1,1,1,1,1,1,0,0
0,0,0,1,1,0,,1,1,1,1,1,0,0,0
0,0,0,1,1,1,,1,1,1,1,1,1,0,0
0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,,1,1,1,1,1,1,0,0
0,0,1,0,1,0,,1,1,0,1,0,1,0,0
0,0,1,0,1,0,,1,1,0,1,0,1,0,0
0,0,1,0,1,0,,1,1,0,1,0,1,0,0
0,0,1,0,1,0,,1,1,0,1,0,1,0,0
0,0,1,0,1,1,,1,1,0,1,0,1,0,0
0,0,1,0,1,1,,1,1,0,1,0,1,0,0
0,0,1,0,1,1,,1,1,0,1,0,1,0,0
0,0,1,0,1,1,,1,1,0,1,0,1,0,0
0,0,1,1,0,0,,1,1,0,0,1,1,0,0
0,0,1,1,0,0,,1,1,0,0,1,1,0,0
0,0,1,1,0,0,,1,1,0,0,1,1,0,0
0,0,1,1,0,0,,1,1,0,0,1,1,0,0
0,0,1,1,0,1,,1,1,0,0,1,1,0,0
0,0,1,1,0,1,,1,1,0,0,1,1,0,0
0,0,1,1,0,1,,1,1,0,0,1,1,0,0
0,0,1,1,0,1,,1,1,0,0,1,1,0,0
0,0,1,1,1,0,,1,1,0,1,1,1,0,0
0,0,1,1,1,0,,1,1,0,1,1,1,0,0
