"No.","Time","Source","Destination","Protocol","Length","Info","capture"
"1","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"2","0.000000","1.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"3","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"4","0.000000","1.1.0","host","USB","69","GET DESCRIPTOR Response CONFIGURATION",""
"5","0.000000","host","1.1.0","USB","36","SET CONFIGURATION Request",""
"6","0.000000","1.1.0","host","USB","28","SET CONFIGURATION Response",""
"7","0.000000","host","1.6.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"8","0.000000","1.6.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"9","0.000000","host","1.6.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"10","0.000000","1.6.0","host","USB","53","GET DESCRIPTOR Response CONFIGURATION",""
"11","0.000000","host","1.6.0","USB","36","SET CONFIGURATION Request",""
"12","0.000000","1.6.0","host","USB","28","SET CONFIGURATION Response",""
"13","0.000000","host","1.8.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"14","0.000000","1.8.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"15","0.000000","host","1.8.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"16","0.000000","1.8.0","host","USB","253","GET DESCRIPTOR Response CONFIGURATION",""
"17","0.000000","host","1.8.0","USB","36","SET CONFIGURATION Request",""
"18","0.000000","1.8.0","host","USB","28","SET CONFIGURATION Response",""
"19","0.000000","host","1.7.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"20","0.000000","1.7.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"21","0.000000","host","1.7.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"22","0.000000","1.7.0","host","USB","46","GET DESCRIPTOR Response CONFIGURATION",""
"23","0.000000","host","1.7.0","USB","36","SET CONFIGURATION Request",""
"24","0.000000","1.7.0","host","USB","28","SET CONFIGURATION Response",""
"25","0.000000","host","1.10.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"26","0.000000","1.10.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"27","0.000000","host","1.10.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"28","0.000000","1.10.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION",""
"29","0.000000","host","1.10.0","USB","36","SET CONFIGURATION Request",""
"30","0.000000","1.10.0","host","USB","28","SET CONFIGURATION Response",""
"31","0.000000","host","1.9.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"32","0.000000","1.9.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"33","0.000000","host","1.9.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"34","0.000000","1.9.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION",""
"35","0.000000","host","1.9.0","USB","36","SET CONFIGURATION Request",""
"36","0.000000","1.9.0","host","USB","28","SET CONFIGURATION Response",""
"37","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"38","0.000000","1.3.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
