"No.","Time","Source","Destination","Protocol","Length","Info","capture"
"13","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request DEVICE",""
"14","0.000000","1.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE",""
"15","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION",""
"16","0.000000","1.2.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION",""
"17","0.000000","host","1.2.0","USB","36","SET CONFIGURATION Request",""
"18","0.000000","1.2.0","host","USB","28","SET CONFIGURATION Response",""
"57","0.014043","host","1.2.0","USB","36","URB_CONTROL in",""
"58","0.014075","host","1.2.0","USB","36","URB_CONTROL in",""
"61","0.015521","1.2.0","host","USB","29","URB_CONTROL in",""
"62","0.018519","1.2.0","host","USB","47","URB_CONTROL in",""
"85","0.110044","host","1.2.0","USB","36","URB_CONTROL in",""
"86","0.110077","host","1.2.0","USB","36","URB_CONTROL in",""
"89","0.111519","1.2.0","host","USB","29","URB_CONTROL in",""
"90","0.114519","1.2.0","host","USB","47","URB_CONTROL in",""
"115","0.205017","host","1.2.0","USB","36","URB_CONTROL in",""
"116","0.205034","host","1.2.0","USB","36","URB_CONTROL in",""
"117","0.206522","1.2.0","host","USB","29","URB_CONTROL in",""
"118","0.209509","1.2.0","host","USB","47","URB_CONTROL in",""
"449","0.300606","host","1.2.0","USB","36","URB_CONTROL in",""
"450","0.300638","host","1.2.0","USB","36","URB_CONTROL in",""
"451","0.302538","1.2.0","host","USB","29","URB_CONTROL in",""
"452","0.305522","1.2.0","host","USB","47","URB_CONTROL in",""
"475","0.393253","host","1.2.0","USB","36","URB_CONTROL in",""
"476","0.393323","host","1.2.0","USB","36","URB_CONTROL in",""
"477","0.394527","1.2.0","host","USB","29","URB_CONTROL in",""
"480","0.397532","1.2.0","host","USB","47","URB_CONTROL in",""
"503","0.487320","host","1.2.0","USB","36","URB_CONTROL in",""
"504","0.487375","host","1.2.0","USB","36","URB_CONTROL in",""
"505","0.488529","1.2.0","host","USB","29","URB_CONTROL in",""
"508","0.491533","1.2.0","host","USB","47","URB_CONTROL in",""
"531","0.581884","host","1.2.0","USB","36","URB_CONTROL in",""
"532","0.581946","host","1.2.0","USB","36","URB_CONTROL in",""
"533","0.583543","1.2.0","host","USB","29","URB_CONTROL in",""
"534","0.586537","1.2.0","host","USB","47","URB_CONTROL in",""
"559","0.677886","host","1.2.0","USB","36","URB_CONTROL in",""
"560","0.677947","host","1.2.0","USB","36","URB_CONTROL in",""
"561","0.679533","1.2.0","host","USB","29","URB_CONTROL in",""
"562","0.682538","1.2.0","host","USB","47","URB_CONTROL in",""
"589","0.771919","host","1.2.0","USB","36","URB_CONTROL in",""
"590","0.771969","host","1.2.0","USB","36","URB_CONTROL in",""
"591","0.773532","1.2.0","host","USB","29","URB_CONTROL in",""
"594","0.776596","1.2.0","host","USB","47","URB_CONTROL in",""
"617","0.866589","host","1.2.0","USB","36","URB_CONTROL in",""
"618","0.866647","host","1.2.0","USB","36","URB_CONTROL in",""
"639","0.868551","1.2.0","host","USB","29","URB_CONTROL in",""
"642","0.871561","1.2.0","host","USB","47","URB_CONTROL in",""
"665","0.961671","host","1.2.0","USB","36","URB_CONTROL in",""
"666","0.961726","host","1.2.0","USB","36","URB_CONTROL in",""
"667","0.963538","1.2.0","host","USB","29","URB_CONTROL in",""
"668","0.966538","1.2.0","host","USB","47","URB_CONTROL in",""
"693","1.057597","host","1.2.0","USB","36","URB_CONTROL in",""
"694","1.057638","host","1.2.0","USB","36","URB_CONTROL in",""
"695","1.059553","1.2.0","host","USB","29","URB_CONTROL in",""
"698","1.062542","1.2.0","host","USB","47","URB_CONTROL in",""
"721","1.151549","host","1.2.0","USB","36","URB_CONTROL in",""
"722","1.151587","host","1.2.0","USB","36","URB_CONTROL in",""
"723","1.153544","1.2.0","host","USB","29","URB_CONTROL in",""
"724","1.156553","1.2.0","host","USB","47","URB_CONTROL in",""
"749","1.245683","host","1.2.0","USB","36","URB_CONTROL in",""
"750","1.245713","host","1.2.0","USB","36","URB_CONTROL in",""
"753","1.247613","1.2.0","host","USB","29","URB_CONTROL in",""
"754","1.250557","1.2.0","host","USB","47","URB_CONTROL in",""
"777","1.338336","host","1.2.0","USB","36","URB_CONTROL in",""
"778","1.338379","host","1.2.0","USB","36","URB_CONTROL in",""
"779","1.339563","1.2.0","host","USB","29","URB_CONTROL in",""
"780","1.342556","1.2.0","host","USB","47","URB_CONTROL in",""
"795","1.396086","host","1.2.0","USB","36","URB_CONTROL out",""
"796","1.396572","1.2.0","host","USB","28","URB_CONTROL out",""
"797","1.396611","host","1.2.0","USB","36","URB_CONTROL in",""
"798","1.396639","host","1.2.0","USB","36","URB_CONTROL in",""
"799","1.396665","host","1.2.1","USB","39","URB_BULK out","7bff000000000d01000076ff"
"800","1.396740","1.2.1","host","USB","27","URB_BULK out",""
"801","1.396770","host","1.2.0","USB","36","URB_CONTROL in",""
"802","1.399551","1.2.0","host","USB","47","URB_CONTROL in",""
"805","1.400629","host","1.2.0","USB","36","URB_CONTROL in",""
"806","1.402556","1.2.0","host","USB","47","URB_CONTROL in",""
"807","1.405553","1.2.0","host","USB","47","URB_CONTROL in",""
"810","1.408618","1.2.0","host","USB","47","URB_CONTROL in",""
"811","1.411945","1.2.1","host","USB","28","URB_BULK in","7a"
"812","1.411995","host","1.2.1","USB","27","URB_BULK in",""
"813","1.412963","1.2.1","host","USB","28","URB_BULK in","ff"
"814","1.412987","host","1.2.1","USB","27","URB_BULK in",""
"815","1.414004","1.2.1","host","USB","28","URB_BULK in","00"
"816","1.414027","host","1.2.1","USB","27","URB_BULK in",""
"817","1.415047","1.2.1","host","USB","28","URB_BULK in","80"
"818","1.415071","host","1.2.1","USB","27","URB_BULK in",""
"819","1.416080","1.2.1","host","USB","28","URB_BULK in","00"
"820","1.416102","host","1.2.1","USB","27","URB_BULK in",""
"823","1.416627","host","1.2.0","USB","36","URB_CONTROL in",""
"824","1.417120","1.2.1","host","USB","28","URB_BULK in","00"
"825","1.417148","host","1.2.1","USB","27","URB_BULK in",""
"826","1.418160","1.2.1","host","USB","28","URB_BULK in","0d"
"827","1.418186","host","1.2.1","USB","27","URB_BULK in",""
"828","1.418556","1.2.0","host","USB","47","URB_CONTROL in",""
"829","1.419195","1.2.1","host","USB","28","URB_BULK in","01"
"830","1.419218","host","1.2.1","USB","27","URB_BULK in",""
"831","1.420230","1.2.1","host","USB","28","URB_BULK in","00"
"832","1.420252","host","1.2.1","USB","27","URB_BULK in",""
"833","1.421273","1.2.1","host","USB","28","URB_BULK in","00"
"834","1.421294","host","1.2.1","USB","27","URB_BULK in",""
"835","1.422304","1.2.1","host","USB","28","URB_BULK in","77"
"836","1.422327","host","1.2.1","USB","27","URB_BULK in",""
"837","1.423347","1.2.1","host","USB","28","URB_BULK in","7f"
"838","1.423371","host","1.2.1","USB","27","URB_BULK in",""
"843","1.432673","host","1.2.0","USB","36","URB_CONTROL in",""
"844","1.432685","host","1.2.0","USB","36","URB_CONTROL in",""
"845","1.434555","1.2.0","host","USB","29","URB_CONTROL in",""
