_RI,_RO,Program,Write,Inspect,,RAM_CE,RAM_WE,RAM_OE,U_OE,Bus_OE,Bus Dir
0,0,0,0,0,,1,1,1,1,1,1
0,1,0,0,0,,0,1,0,1,0,0
1,0,0,0,0,,0,0,1,1,0,1
1,1,0,0,0,,1,1,1,1,1,1
0,0,1,0,0,,1,1,1,1,1,1
0,0,1,0,1,,1,1,0,1,1,1
0,0,1,1,0,,0,0,1,0,1,1
0,0,1,1,1,,1,1,0,1,1,1
1,0,1,0,0,,1,1,1,1,1,1
1,0,1,0,1,,1,1,0,1,1,1
1,0,1,1,0,,0,0,1,0,1,1
1,0,1,1,1,,1,1,0,1,1,1
0,0,1,0,0,,1,1,1,1,1,1
0,0,1,0,1,,1,1,0,1,1,1
0,0,1,1,0,,0,0,1,0,1,1
0,0,1,1,1,,1,1,0,1,1,1
1,0,1,0,0,,1,1,1,1,1,1
1,0,1,0,1,,1,1,0,1,1,1
1,0,1,1,0,,0,0,1,0,1,1
1,0,1,1,1,,1,1,0,1,1,1
0,0,0,0,1,,1,1,1,1,1,1
0,1,0,0,1,,0,1,0,1,0,0
1,0,0,0,1,,0,0,1,1,0,1
1,1,0,0,1,,1,1,1,1,1,1
0,0,0,1,0,,1,1,1,1,1,1
0,1,0,1,0,,0,1,0,1,0,0
1,0,0,1,0,,0,0,1,1,0,1
1,1,0,1,0,,1,1,1,1,1,1
0,0,0,1,0,,1,1,1,1,1,1
0,1,0,1,0,,0,1,0,1,0,0
1,0,0,1,0,,0,0,1,1,0,1
1,1,0,1,0,,1,1,1,1,1,1
