User_Program,User_Write,User_Inspect,Control_Clock,/Control_MAR_In,/Control_RAM_In,/Control_RAM_Out,Control_Halt_In,,/RAM_Write,/RAM_Output_Enable,/User_Output_Enable,/Databus_Output_Enable,Databus_Direction,Halt_Out,MAR_Clock
0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,,0,0,1,0,1,1,0
0,0,0,0,0,0,1,0,,0,1,1,0,0,0,0
0,0,0,0,0,0,1,1,,0,1,1,0,0,1,0
0,0,0,0,0,1,0,0,,1,0,1,0,1,0,0
0,0,0,0,0,1,0,1,,1,0,1,0,1,1,0
0,0,0,0,0,1,1,0,,1,1,1,1,0,0,0
0,0,0,0,0,1,1,1,,1,1,1,1,0,1,0
0,0,0,0,1,0,0,0,,0,0,1,0,1,0,0
0,0,0,0,1,0,0,1,,0,0,1,0,1,1,0
0,0,0,0,1,0,1,0,,0,1,1,0,0,0,0
0,0,0,0,1,0,1,1,,0,1,1,0,0,1,0
0,0,0,0,1,1,0,0,,1,0,1,0,1,0,0
0,0,0,0,1,1,0,1,,1,0,1,0,1,1,0
0,0,0,0,1,1,1,0,,1,1,1,1,0,0,0
0,0,0,0,1,1,1,1,,1,1,1,1,0,1,0
0,0,0,1,0,0,0,0,,0,0,1,0,1,0,1
0,0,0,1,0,0,0,1,,0,0,1,0,1,1,1
0,0,0,1,0,0,1,0,,0,1,1,0,0,0,1
0,0,0,1,0,0,1,1,,0,1,1,0,0,1,1
0,0,0,1,0,1,0,0,,1,0,1,0,1,0,1
0,0,0,1,0,1,0,1,,1,0,1,0,1,1,1
0,0,0,1,0,1,1,0,,1,1,1,1,0,0,1
0,0,0,1,0,1,1,1,,1,1,1,1,0,1,1
0,0,0,1,1,0,0,0,,0,0,1,0,1,0,0
0,0,0,1,1,0,0,1,,0,0,1,0,1,1,0
0,0,0,1,1,0,1,0,,0,1,1,0,0,0,0
0,0,0,1,1,0,1,1,,0,1,1,0,0,1,0
0,0,0,1,1,1,0,0,,1,0,1,0,1,0,0
0,0,0,1,1,1,0,1,,1,0,1,0,1,1,0
0,0,0,1,1,1,1,0,,1,1,1,1,0,0,0
0,0,0,1,1,1,1,1,,1,1,1,1,0,1,0
0,0,1,0,0,0,0,0,,0,0,1,0,1,0,0
0,0,1,0,0,0,0,1,,0,0,1,0,1,1,0
0,0,1,0,0,0,1,0,,0,1,1,0,0,0,0
0,0,1,0,0,0,1,1,,0,1,1,0,0,1,0
0,0,1,0,0,1,0,0,,1,0,1,0,1,0,0
0,0,1,0,0,1,0,1,,1,0,1,0,1,1,0
0,0,1,0,0,1,1,0,,1,1,1,1,0,0,0
0,0,1,0,0,1,1,1,,1,1,1,1,0,1,0
0,0,1,0,1,0,0,0,,0,0,1,0,1,0,0
0,0,1,0,1,0,0,1,,0,0,1,0,1,1,0
0,0,1,0,1,0,1,0,,0,1,1,0,0,0,0
0,0,1,0,1,0,1,1,,0,1,1,0,0,1,0
0,0,1,0,1,1,0,0,,1,0,1,0,1,0,0
0,0,1,0,1,1,0,1,,1,0,1,0,1,1,0
0,0,1,0,1,1,1,0,,1,1,1,1,0,0,0
0,0,1,0,1,1,1,1,,1,1,1,1,0,1,0
0,0,1,1,0,0,0,0,,0,0,1,0,1,0,1
0,0,1,1,0,0,0,1,,0,0,1,0,1,1,1
0,0,1,1,0,0,1,0,,0,1,1,0,0,0,1
0,0,1,1,0,0,1,1,,0,1,1,0,0,1,1
0,0,1,1,0,1,0,0,,1,0,1,0,1,0,1
0,0,1,1,0,1,0,1,,1,0,1,0,1,1,1
0,0,1,1,0,1,1,0,,1,1,1,1,0,0,1
0,0,1,1,0,1,1,1,,1,1,1,1,0,1,1
0,0,1,1,1,0,0,0,,0,0,1,0,1,0,0
0,0,1,1,1,0,0,1,,0,0,1,0,1,1,0
0,0,1,1,1,0,1,0,,0,1,1,0,0,0,0
0,0,1,1,1,0,1,1,,0,1,1,0,0,1,0
0,0,1,1,1,1,0,0,,1,0,1,0,1,0,0
0,0,1,1,1,1,0,1,,1,0,1,0,1,1,0
0,0,1,1,1,1,1,0,,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,,1,1,1,1,0,1,0
0,1,0,0,0,0,0,0,,0,0,1,0,1,0,0
0,1,0,0,0,0,0,1,,0,0,1,0,1,1,0
0,1,0,0,0,0,1,0,,0,1,1,0,0,0,0
0,1,0,0,0,0,1,1,,0,1,1,0,0,1,0
0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0
0,1,0,0,0,1,0,1,,1,0,1,0,1,1,0
0,1,0,0,0,1,1,0,,1,1,1,1,0,0,0
0,1,0,0,0,1,1,1,,1,1,1,1,0,1,0
0,1,0,0,1,0,0,0,,0,0,1,0,1,0,0
0,1,0,0,1,0,0,1,,0,0,1,0,1,1,0
0,1,0,0,1,0,1,0,,0,1,1,0,0,0,0
0,1,0,0,1,0,1,1,,0,1,1,0,0,1,0
0,1,0,0,1,1,0,0,,1,0,1,0,1,0,0
0,1,0,0,1,1,0,1,,1,0,1,0,1,1,0
0,1,0,0,1,1,1,0,,1,1,1,1,0,0,0
0,1,0,0,1,1,1,1,,1,1,1,1,0,1,0
0,1,0,1,0,0,0,0,,0,0,1,0,1,0,1
0,1,0,1,0,0,0,1,,0,0,1,0,1,1,1
0,1,0,1,0,0,1,0,,0,1,1,0,0,0,1
0,1,0,1,0,0,1,1,,0,1,1,0,0,1,1
0,1,0,1,0,1,0,0,,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,,1,0,1,0,1,1,1
0,1,0,1,0,1,1,0,,1,1,1,1,0,0,1
0,1,0,1,0,1,1,1,,1,1,1,1,0,1,1
0,1,0,1,1,0,0,0,,0,0,1,0,1,0,0
0,1,0,1,1,0,0,1,,0,0,1,0,1,1,0
0,1,0,1,1,0,1,0,,0,1,1,0,0,0,0
0,1,0,1,1,0,1,1,,0,1,1,0,0,1,0
0,1,0,1,1,1,0,0,,1,0,1,0,1,0,0
0,1,0,1,1,1,0,1,,1,0,1,0,1,1,0
0,1,0,1,1,1,1,0,,1,1,1,1,0,0,0
0,1,0,1,1,1,1,1,,1,1,1,1,0,1,0
0,1,1,0,0,0,0,0,,0,0,1,0,1,0,0
0,1,1,0,0,0,0,1,,0,0,1,0,1,1,0
0,1,1,0,0,0,1,0,,0,1,1,0,0,0,0
